algo,seed,phase1_best_seed,w_emission,w_soc_squared,total_timesteps,training_duration_hms,total_reward,rmse_speed_kmph,mae_speed_kmph,total_nox_g,total_fuel_g,initial_soc,final_soc,delta_soc,max_abs_soc_drift,rms_soc_drift,abs_path,p1_rmse,p1_nox,p1_dsoc,drmse_pct,dnox_pct,abs_dsoc
sac,0,3,0.4952778414302135,167.0129934528388,4000000,15:23:06,3528.44677734375,3.336258260640955,1.4293572716528788,3.644519090652466,58.953086853027344,0.7013577222824097,0.7125216722488403,0.011163949966430664,0.022377490997314453,0.015339064411818981,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_seeds/seed_0,3.106,48.94,0.2987,7.413337432097718,-92.55308726879349,0.011163949966430664
sac,1,3,0.4952778414302135,167.0129934528388,4000000,20:34:03,3532.1630859375,3.2644543872560496,1.4138139056708952,3.899203062057495,47.43029040265083,0.6996263861656189,0.6829867362976074,-0.016639649868011475,0.016639649868011475,0.006705698557198048,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_seeds/seed_1,3.106,48.94,0.2987,5.101557864006754,-92.03268683682572,0.016639649868011475
sac,2,3,0.4952778414302135,167.0129934528388,4000000,10:37:33,3549.892578125,3.24174283580782,0.8437993556269343,4.636403560638428,53.47880941295624,0.7014063596725464,0.7073257565498352,0.005919396877288818,0.01699674129486084,0.005713960621505976,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_seeds/seed_2,3.106,48.94,0.2987,4.370342427811344,-90.52635153118425,0.005919396877288818
sac,3,3,0.4952778414302135,167.0129934528388,4000000,18:59:15,3491.2041015625,3.3148200258260516,1.635208736164234,6.892064094543457,106.08982849121094,0.7006242275238037,0.7082019448280334,0.007577717304229736,0.020656466484069824,0.010181519202888012,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_seeds/seed_3,3.106,48.94,0.2987,6.723117380104693,-85.91731897314374,0.007577717304229736
sac,4,3,0.4952778414302135,167.0129934528388,4000000,18:57:57,3420.4599609375,4.028591117617779,3.0117781412008573,5.692286014556885,55.726634684085845,0.7001034617424011,0.6717458367347717,-0.028357625007629395,0.03231382369995117,0.023426320403814316,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_seeds/seed_4,3.106,48.94,0.2987,29.70351312356018,-88.36884753870682,0.028357625007629395
sac,5,3,0.4952778414302135,167.0129934528388,4000000,15:22:32,3554.348876953125,3.033635112034374,0.5674856488788813,4.245281219482422,57.10915050315857,0.7013389468193054,0.7011820077896118,-0.00015693902969360352,0.00775378942489624,0.0026119169779121876,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_seeds/seed_5,3.106,48.94,0.2987,-2.329841853368506,-91.32553898757168,0.00015693902969360352
sac,6,3,0.4952778414302135,167.0129934528388,4000000,15:12:51,3550.29638671875,3.1204979720142165,0.8107693109885955,3.3837718963623047,54.84468335366249,0.7019710540771484,0.6957948207855225,-0.0061762332916259766,0.014492273330688477,0.005830170586705208,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_seeds/seed_6,3.106,48.94,0.2987,0.4667730848105812,-93.08587679533652,0.0061762332916259766
sac,7,3,0.4952778414302135,167.0129934528388,4000000,15:03:37,3552.9501953125,3.025093217620023,0.5989202736284575,2.059032440185547,57.29101730823517,0.7003394961357117,0.6863968372344971,-0.0139426589012146,0.0139426589012146,0.007327733561396599,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_seeds/seed_7,3.106,48.94,0.2987,-2.604854551834416,-95.79274123378515,0.0139426589012146
sac,8,3,0.4952778414302135,167.0129934528388,4000000,15:18:32,3534.08154296875,3.1857519202741496,1.0643480752169605,6.365771293640137,96.9857177734375,0.7005656957626343,0.7003995180130005,-0.00016617774963378906,0.03508692979812622,0.012376721948385239,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_seeds/seed_8,3.106,48.94,0.2987,2.567672900004819,-86.99270271017544,0.00016617774963378906
sac,9,3,0.4952778414302135,167.0129934528388,4000000,15:08:30,3470.16845703125,3.7921955971604766,2.4571204802896554,4.239661693572998,51.947696685791016,0.7011548280715942,0.6944420337677002,-0.006712794303894043,0.0341414213180542,0.01814260706305504,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_seeds/seed_9,3.106,48.94,0.2987,22.09258200774233,-91.33702146797508,0.006712794303894043
