algo,cell_id,cell_dir,w_emission,w_soc_squared,phase1_best_seed,total_timesteps,training_duration_hms,total_reward,rmse_speed_kmph,mae_speed_kmph,total_nox_g,total_fuel_g,initial_soc,final_soc,delta_soc,max_abs_soc_drift,rms_soc_drift,abs_path,p1_rmse,p1_nox,p1_dsoc,drmse_pct,dnox_pct,abs_dsoc
sac,3,cell_03_we0.5_wsq50,0.5,50.0,3,4000000,"1 day, 4:44:52",3535.466552734375,3.7415653774110442,1.0902408159716521,3.0278878211975098,80.5450210571289,0.6961532235145569,0.7429243922233582,0.04677116870880127,0.04677116870880127,0.02711043506860733,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2/cell_03_we0.5_wsq50,3.106,48.94,0.2987,20.462504102094154,-93.8130612562372,0.04677116870880127
sac,4,cell_04_we0.5_wsq150,0.5,150.0,3,4000000,"1 day, 4:29:05",3486.511962890625,3.4957722417385657,1.972358817556031,3.30556583404541,75.2541903026104,0.7024598717689514,0.7013881802558899,-0.0010716915130615234,0.008608698844909668,0.003065255004912615,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2/cell_04_we0.5_wsq150,3.106,48.94,0.2987,12.54900971469948,-93.24567667747158,0.0010716915130615234
sac,5,cell_05_we0.5_wsq400,0.5,400.0,3,4000000,"1 day, 4:43:24",3555.353271484375,3.0685992811394325,0.5383332923704732,4.679147243499756,54.39950942993164,0.7001099586486816,0.691958487033844,-0.008151471614837646,0.00846707820892334,0.0059186238795518875,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2/cell_05_we0.5_wsq400,3.106,48.94,0.2987,-1.2041442002758338,-90.43901257968992,0.008151471614837646
sac,6,cell_06_we1_wsq50,1.0,50.0,3,4000000,"1 day, 4:45:07",3508.159423828125,3.5147352684244177,1.5799112688272852,4.597970485687256,58.25597726774215,0.7003592252731323,0.6810181140899658,-0.019341111183166504,0.07378876209259033,0.023148607462644577,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2/cell_06_we1_wsq50,3.106,48.94,0.2987,13.159538584173145,-90.60488253844042,0.019341111183166504
sac,7,cell_07_we1_wsq150,1.0,150.0,3,4000000,"1 day, 4:45:30",3531.322021484375,3.3024141842248427,1.3627102415440446,3.1447107791900635,53.62675706171989,0.6997689008712769,0.6702533960342407,-0.029515504837036133,0.034536123275756836,0.018694601953029633,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2/cell_07_we1_wsq150,3.106,48.94,0.2987,6.323702003375494,-93.57435476258671,0.029515504837036133
sac,8,cell_08_we1_wsq400,1.0,400.0,3,4000000,"1 day, 4:48:18",1689.7987060546875,80.77517119544062,57.115958180617014,0.0008765906095504761,0.0,0.7023565769195557,0.5886493921279907,-0.11370718479156494,0.11370718479156494,0.07694118469953537,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2/cell_08_we1_wsq400,3.106,48.94,0.2987,2500.6172310186935,-99.99820884632294,0.11370718479156494
td3,0,cell_00_we0.25_wsq50,0.25,50.0,1,4000000,10:16:59,3476.525390625,3.791111493289669,2.2060029276810478,3.508049964904785,56.98724174904823,0.7000021934509277,0.616244912147522,-0.08375728130340576,0.08886885643005371,0.06972560286521912,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2/cell_00_we0.25_wsq50,3.515,73.42,0.2999,7.855234517487024,-95.22194229786872,0.08375728130340576
td3,1,cell_01_we0.25_wsq150,0.25,150.0,1,4000000,12:01:38,3503.02880859375,3.861381497663266,1.880427591864948,6.777778625488281,68.5316264846325,0.7020413875579834,0.6809666156768799,-0.021074771881103516,0.07162517309188843,0.03472051024436951,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2/cell_01_we0.25_wsq150,3.515,73.42,0.2999,9.854381156849666,-90.76848457438263,0.021074771881103516
td3,2,cell_02_we0.25_wsq400,0.25,400.0,1,4000000,7:42:07,2963.114990234375,6.931313323120181,6.045816850251508,15.46796989440918,53.60638663053513,0.7003289461135864,0.6901915073394775,-0.010137438774108887,0.017920494079589844,0.008687876164913177,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2/cell_02_we0.25_wsq400,3.515,73.42,0.2999,97.19241317553856,-78.93221207517136,0.010137438774108887
td3,3,cell_03_we0.5_wsq50,0.5,50.0,1,4000000,11:46:17,3459.05517578125,4.803708019214773,2.419615149067388,7.138601779937744,125.72024503564835,0.7001000046730042,0.559867262840271,-0.14023274183273315,0.1915183663368225,0.10287115722894669,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2/cell_03_we0.5_wsq50,3.515,73.42,0.2999,36.6631015423833,-90.27703380558738,0.14023274183273315
td3,4,cell_04_we0.5_wsq150,0.5,150.0,1,4000000,12:00:13,3056.646728515625,6.392520839614449,4.110000072170807,27.976913452148438,67.24342568421363,0.7007776498794556,0.6672797203063965,-0.03349792957305908,0.03349792957305908,0.016700532287359238,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2/cell_04_we0.5_wsq150,3.515,73.42,0.2999,81.86403526641392,-61.89469701423531,0.03349792957305908
td3,5,cell_05_we0.5_wsq400,0.5,400.0,1,4000000,9:58:20,1418.446044921875,75.98425037877139,55.163442082523005,7.608719348907471,25.447471420526504,0.7003627419471741,0.6659383773803711,-0.03442436456680298,0.05963093042373657,0.029005000367760658,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2/cell_05_we0.5_wsq400,3.515,73.42,0.2999,2061.7140932794136,-89.6367211265221,0.03442436456680298
td3,6,cell_06_we1_wsq50,1.0,50.0,1,4000000,10:11:45,2862.75927734375,7.7606475356870295,5.979952436713717,22.583393096923828,209.48115507507325,0.7016596794128418,0.757964015007019,0.056304335594177246,0.15006792545318604,0.090961754322052,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2/cell_06_we1_wsq50,3.515,73.42,0.2999,120.78655862552002,-69.2408157219779,0.056304335594177246
td3,7,cell_07_we1_wsq150,1.0,150.0,1,4000000,10:10:39,3521.6328125,3.4928481628899872,1.4766021144492787,10.943880081176758,53.05083084106445,0.7000073194503784,0.6663728952407837,-0.03363442420959473,0.04278069734573364,0.030509378761053085,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2/cell_07_we1_wsq150,3.515,73.42,0.2999,-0.6302087371269671,-85.09414317464348,0.03363442420959473
td3,8,cell_08_we1_wsq400,1.0,400.0,1,4000000,10:11:59,2993.926025390625,6.066670215718004,3.878436819915475,61.86872863769531,87.79547782564163,0.700362503528595,0.6810957193374634,-0.019266784191131592,0.029813110828399658,0.018737521022558212,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/td3/phase2/cell_08_we1_wsq400,3.515,73.42,0.2999,72.59374724660039,-15.7331399650023,0.019266784191131592
