Time,T_amb,p_amb,ICE_Speed_soll,fuel,EM2_Torque,Brake,ICE_Torque_pred,NO_out_m_pred,NO2_out_m_pred,CO_out_m_pred,CO2_out_m_pred,Car_Speed_pred,SOC_pred
93.5,298,1,2500,3,0,0,-8.278042,-0.00016910904,2.4418589e-05,0.0052559692,0.17314517,-1.1097648,0.5019302
94.0,298,1,2500,3,0,0,-8.242812,-0.00013368556,2.4367744e-05,0.005246568,0.17395447,-1.108088,0.5019367
94.5,298,1,2500,3,0,0,-8.210064,-0.000101116035,2.4318957e-05,0.005236943,0.17468147,-1.1064161,0.50194323
95.0,298,1,2500,3,0,0,-8.179694,-7.1504226e-05,2.4274676e-05,0.0052270843,0.17533226,-1.1047269,0.5019497
95.5,298,1,2500,3,0,0,-8.15201,-4.465987e-05,2.4232455e-05,0.0052168295,0.17591225,-1.1030204,0.5019563
96.0,298,1,2500,3,0,0,-8.126943,-2.0496494e-05,2.4193065e-05,0.005206221,0.17642929,-1.1013461,0.5019629
96.5,298,1,2500,3,0,0,-8.104459,1.063742e-06,2.415625e-05,0.0051950943,0.17688976,-1.0996842,0.50196946
97.0,298,1,2500,3,0,0,-8.084711,2.0332176e-05,2.4123427e-05,0.0051834336,0.17730178,-1.0980568,0.5019761
97.5,298,1,2500,3,0,0,-8.067377,3.749907e-05,2.4090345e-05,0.00517097,0.1776722,-1.096474,0.50198275
98.0,298,1,2500,3,0,0,-8.052745,5.2616317e-05,2.406164e-05,0.005157576,0.17800903,-1.0949382,0.5019893
98.5,298,1,2500,3,0,0,-8.040475,6.607309e-05,2.4034349e-05,0.0051428787,0.17831996,-1.0934519,0.5019959
99.0,298,1,2500,3,0,0,-8.030856,7.798181e-05,2.400912e-05,0.005126388,0.17861344,-1.0920075,0.5020026
99.5,298,1,2500,3,0,0,-8.02382,8.85414e-05,2.3984661e-05,0.005107689,0.17889829,-1.0906373,0.5020092
100.0,298,1,2500,3,0,0,-8.019826,9.7959404e-05,2.396175e-05,0.0050859023,0.17918412,-1.0893018,0.5020159
100.5,298,1,2500,3,0,0,-8.018874,0.00010652123,2.3940123e-05,0.005060347,0.17948224,-1.0880504,0.5020225
101.0,298,1,2500,3,0,0,-8.021203,0.00011437389,2.3918756e-05,0.0050296765,0.17980523,-1.0868584,0.5020292
101.5,298,1,2500,3,0,0,-8.027745,0.000121828736,2.3898288e-05,0.0049925805,0.18016827,-1.0857676,0.5020358
102.0,298,1,2500,3,0,0,-8.038843,0.00012885117,2.3877694e-05,0.004947325,0.18058902,-1.0847216,0.5020425
102.5,298,1,2500,3,0,0,-8.055498,0.00013604655,2.3857612e-05,0.004891746,0.18108845,-1.0837891,0.502049
103.0,298,1,2500,3,0,0,-8.078543,0.00014342357,2.3836888e-05,0.004823385,0.18169199,-1.082973,0.5020557
103.5,298,1,2500,3,0,0,-8.10915,0.00015131947,2.3815519e-05,0.0047393865,0.18242763,-1.082278,0.5020623
104.0,298,1,2500,3,0,0,-8.148832,0.00016004562,2.3793507e-05,0.0046368097,0.18332955,-1.0817167,0.50206894
104.5,298,1,2500,3,0,0,-8.19832,0.00016989604,2.377111e-05,0.004512671,0.18443328,-1.0813383,0.5020755
105.0,298,1,2500,3,0,0,-8.258838,0.00018121667,2.3746523e-05,0.0043641664,0.1857768,-1.0811552,0.502082
105.5,298,1,2500,3,0,0,-8.3307085,0.00019421508,2.3720779e-05,0.004189459,0.18739647,-1.081217,0.5020884
106.0,298,1,2500,3,0,0,-8.413404,0.00020910749,2.369439e-05,0.0039880667,0.18932289,-1.0815188,0.50209486
