algo,number,state,trial_dir,w_emission,w_soc_squared,phase1_best_seed,value,rmse_speed_kmph,total_nox_g,delta_soc,abs_dsoc,max_abs_soc_drift,rms_soc_drift,rmse_penalty,soc_penalty,drmse_pct,dnox_pct,p1_rmse,p1_nox,p1_dsoc,duration_s,datetime_start,datetime_complete,abs_path
sac,1,COMPLETE,trial_001_we0.429_wsq224.4,0.4290788618752389,224.36875495427583,3,4.860251426696777,3.10628134637906,4.860251426696777,-0.0331489443778991,0.0331489443778991,0.0331489443778991,0.0118680149316787,0.0,0.0,0.009058157728921403,-90.068959079083,3.106,48.94,0.2987,52001.228225,2026-05-12 01:27:00.098447,2026-05-12 15:53:41.326672,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_001_we0.429_wsq224.4
sac,2,PRUNED,trial_002_we1.182_wsq102.7,1.1817064657594747,102.66491372957088,3,3.2396974563598633,,,,,,,,,,,3.106,48.94,0.2987,64815.56329,2026-05-12 01:27:00.147055,2026-05-12 19:27:15.710345,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_002_we1.182_wsq102.7
sac,3,COMPLETE,trial_003_we0.963_wsq224.6,0.9628013910936306,224.62882919880647,3,2.797764301300049,3.6637985047001376,2.797764301300049,-0.0359154939651489,0.0359154939651489,0.0359154939651489,0.0158985536545515,0.0,0.0,17.958741297493166,-94.28327686697988,3.106,48.94,0.2987,51975.25847,2026-05-12 01:27:00.213115,2026-05-12 15:53:15.471585,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_003_we0.963_wsq224.6
sac,4,COMPLETE,trial_004_we0.495_wsq167.0,0.4952778414302135,167.0129934528388,3,2.435727119445801,3.67799804865913,2.435727119445801,0.0116097331047058,0.0116097331047058,0.0128903985023498,0.009350256063044,0.0,0.0,18.41590626719673,-95.02303408368246,3.106,48.94,0.2987,62469.797464,2026-05-12 01:27:00.647933,2026-05-12 18:48:10.445397,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_004_we0.495_wsq167.0
sac,5,COMPLETE,trial_005_we0.305_wsq166.4,0.3051043714826608,166.39229255804216,3,3.303476095199585,3.6137386205311945,3.303476095199585,-0.0058822631835937,0.0058822631835937,0.0206276774406433,0.0078908503055572,0.0,0.0,16.347025773702338,-93.24994667919987,3.106,48.94,0.2987,51543.198474,2026-05-12 01:27:01.131452,2026-05-12 15:46:04.329926,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_005_we0.305_wsq166.4
sac,6,RUNNING,trial_006_we0.838_wsq152.3,0.8381791564735804,152.30840102362305,3,,,,,,,,,,,,3.106,48.94,0.2987,,2026-05-12 01:27:02.126028,,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_006_we0.838_wsq152.3
sac,7,COMPLETE,trial_007_we0.470_wsq108.1,0.4700807597290295,108.09248133652436,3,4.766468048095703,3.079094426003303,4.766468048095703,-0.0073907375335693,0.0073907375335693,0.0242005586624145,0.0167767144739627,0.0,0.0,-0.8662451383353839,-90.26058837740968,3.106,48.94,0.2987,52372.470654,2026-05-12 01:27:03.175935,2026-05-12 15:59:55.646589,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_007_we0.470_wsq108.1
sac,8,COMPLETE,trial_008_we0.629_wsq170.0,0.629353619341847,170.03998085993703,3,4.494860649108887,3.765202974843194,4.494860649108887,2.872943878173828e-05,2.872943878173828e-05,0.0112597942352294,0.0064986376091837,0.0,0.0,21.223534283425444,-90.81556875948327,3.106,48.94,0.2987,52531.310254,2026-05-12 01:27:04.178890,2026-05-12 16:02:35.489144,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_008_we0.629_wsq170.0
sac,9,PRUNED,trial_009_we1.108_wsq72.7,1.1081687016708757,72.70422194505208,3,3.3003978729248047,,,,,,,,,,,3.106,48.94,0.2987,52600.97835,2026-05-12 01:27:05.181263,2026-05-12 16:03:46.159613,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_009_we1.108_wsq72.7
sac,10,COMPLETE,trial_010_we0.730_wsq140.1,0.7296296848335747,140.10470889296224,3,3.2614707946777344,3.27992953342768,3.2614707946777344,0.0074976086616516,0.0074976086616516,0.0174635648727417,0.008452957496047,0.0,0.0,5.599791803853189,-93.33577688051136,3.106,48.94,0.2987,47640.694931,2026-05-12 15:46:04.342908,2026-05-13 05:00:05.037839,/Users/niklaslongschiefelbein/local_documents/THESIS/code/rl_emission_reduction/02_rl_control/logs_cluster/logs/sac/phase2_optuna/trial_010_we0.730_wsq140.1
