time,ice_torque_pred,car_speed_pred,soc_pred,ice_torque_true,car_speed_true,soc_true
100.5,-0.013484799,1.1555562,0.6895498,0.0,0.00052413,0.69118
101.0,-0.013356302,-0.037864164,0.6896118,0.0,0.00035677,0.69118
101.5,-0.013337945,-0.32050714,0.68966067,0.0,0.00024284,0.69118
102.0,-0.013264517,-0.3439302,0.6896346,0.0,0.00016529,0.69118
102.5,-0.013319588,-0.29970664,0.6895969,0.0,0.0001125,0.69118
103.0,-0.01319109,-0.23623806,0.6895615,0.0,7.66e-05,0.69118
103.5,-0.013172734,-0.17577665,0.6895371,0.0,5.21e-05,0.69118
104.0,-0.013099306,-0.12717053,0.6895203,0.0,3.55e-05,0.69118
104.5,-0.01313602,-0.09150065,0.68950725,0.0,2.41e-05,0.69118
105.0,-0.013099306,-0.067315385,0.6894983,0.0,1.64e-05,0.69118
105.5,-0.013044236,-0.052303955,0.6894935,0.0,1.12e-05,0.69118
106.0,-0.012989165,-0.04379875,0.6894915,0.0,7.61e-06,0.69118
106.5,-0.0129524525,-0.03907325,0.6894901,0.0,5.18e-06,0.69118
107.0,-0.012860668,-0.035906754,0.68948877,0.0,3.53e-06,0.69118
107.5,-0.012879025,-0.032792218,0.6894869,0.0,2.4e-06,0.69118
108.0,-0.0127872415,-0.029161485,0.6894849,0.0,1.63e-06,0.69118
108.5,-0.012823954,-0.025069982,0.689483,0.0,1.11e-06,0.69118
109.0,-0.0127321705,-0.020867614,0.68948233,0.0,7.57e-07,0.69118
109.5,-0.012658743,-0.017022084,0.68948287,0.0,5.15e-07,0.69118
110.0,-0.012640387,-0.013737794,0.6894839,0.0,3.51e-07,0.69118
110.5,-0.012658743,-0.011163714,0.6894856,0.0,2.39e-07,0.69118
111.0,-0.012548603,-0.009182054,0.6894874,0.0,1.62e-07,0.69118
111.5,-0.012511889,-0.0076888795,0.68948936,0.0,1.11e-07,0.69118
112.0,-0.012530246,-0.006469396,0.6894915,0.0,7.53e-08,0.69118
112.5,-0.012530246,-0.0054508504,0.6894938,0.0,5.12e-08,0.69118
113.0,-0.012420105,-0.0045639533,0.68949616,0.0,3.49e-08,0.69118
113.5,-0.012401748,-0.0037879182,0.68949866,0.0,2.37e-08,0.69118
114.0,-0.012401748,-0.0031920346,0.6895014,0.0,1.62e-08,0.69118
114.5,-0.012328321,-0.0027035482,0.6895046,0.0,1.1e-08,0.69118
115.0,-0.012383392,-0.0024125353,0.68950796,0.0,7.49e-09,0.69118
115.5,-0.012346678,-0.0022670287,0.68951166,0.0,5.09e-09,0.69118
116.0,-0.012328321,-0.0022427775,0.68951505,0.0,3.47e-09,0.69118
116.5,-0.012291607,-0.002339782,0.68951887,0.0,2.36e-09,0.69118
117.0,-0.012291607,-0.0025233973,0.68952274,0.0,1.61e-09,0.69118
117.5,-0.012144754,-0.002748586,0.68952703,0.0,1.09e-09,0.69118
118.0,-0.012126396,-0.003077708,0.68953127,0.0,7.44e-10,0.69118
118.5,-0.01210804,-0.0034310808,0.6895355,0.0,5.07e-10,0.69118
119.0,-0.012016256,-0.003815634,0.68953985,0.0,3.45e-10,0.69118
119.5,-0.012034613,-0.0042452244,0.68954456,0.0,2.35e-10,0.69118
120.0,-0.011979543,-0.004688673,0.68954915,0.0,1.6e-10,0.69118
120.5,-0.011997899,-0.0051771593,0.6895536,0.0,1.09e-10,0.69118
121.0,-0.011887758,-0.00566911,0.6895586,0.0,7.4e-11,0.69118
121.5,-0.011942829,-0.006195705,0.6895634,0.0,5.04e-11,0.69118
122.0,-0.011777618,-0.0067015137,0.68956804,0.0,3.43e-11,0.69118
122.5,-0.011869402,-0.0072177155,0.6895728,0.0,2.33e-11,0.69118
123.0,-0.011777618,-0.007740846,0.6895776,0.0,1.59e-11,0.69118
123.5,-0.011795974,-0.008263976,0.6895826,0.0,1.08e-11,0.69118
124.0,-0.011704191,-0.008780179,0.6895873,0.0,7.36e-12,0.69118
124.5,-0.011722547,-0.00929638,0.6895922,0.0,5.01e-12,0.69118
125.0,-0.011630763,-0.009812582,0.68959683,0.0,3.41e-12,0.69118
125.5,-0.01164912,-0.010301068,0.6896018,0.0,2.32e-12,0.69118
126.0,-0.011630763,-0.010779161,0.6896068,0.0,1.58e-12,0.69118
126.5,-0.011575693,-0.011264183,0.6896114,0.0,1.08e-12,0.69118
127.0,-0.011520622,-0.011735347,0.6896163,0.0,7.32e-13,0.69118
127.5,-0.011447196,-0.012175331,0.6896209,0.0,4.98e-13,0.69118
128.0,-0.011373769,-0.01261185,0.6896256,0.0,3.39e-13,0.69118
128.5,-0.011428839,-0.013041441,0.6896304,0.0,2.31e-13,0.69118
129.0,-0.011373769,-0.013457174,0.6896352,0.0,1.57e-13,0.69118
129.5,-0.011392125,-0.013831334,0.68963987,0.0,1.07e-13,0.69118
130.0,-0.011337055,-0.014219351,0.6896445,0.0,7.28e-14,0.69118
130.5,-0.011300341,-0.01460044,0.6896491,0.0,4.95e-14,0.69118
131.0,-0.011263628,-0.01494342,0.68965364,0.0,3.37e-14,0.69118
131.5,-0.011153487,-0.015303722,0.68965805,0.0,2.29e-14,0.69118
132.0,-0.011281984,-0.015625915,0.6896627,0.0,1.56e-14,0.69118
132.5,-0.011263628,-0.015944643,0.689667,0.0,1.06e-14,0.69118
133.0,-0.011245271,-0.016235657,0.6896716,0.0,7.23e-15,0.69118
133.5,-0.01113513,-0.016547456,0.6896759,0.0,4.92e-15,0.69118
134.0,-0.0112085575,-0.016821146,0.68968034,0.0,3.35e-15,0.69118
134.5,-0.0110984165,-0.017084444,0.68968457,0.0,2.28e-15,0.69118
135.0,-0.011116773,-0.017347742,0.68968916,0.0,1.55e-15,0.69118
135.5,-0.011024989,-0.01757986,0.68969333,0.0,1.06e-15,0.69118
136.0,-0.011024989,-0.017836228,0.6896977,0.0,7.19e-16,0.69118
136.5,-0.010969919,-0.018040631,0.68970186,0.0,4.9e-16,0.69118
137.0,-0.010951562,-0.018276213,0.68970615,0.0,3.33e-16,0.69118
137.5,-0.010896492,-0.016045112,0.68969643,0.0,0.0039794,0.69118
138.0,-0.010896492,-0.012528704,0.6895195,0.0,0.30938,0.69118
138.5,-0.010841422,-0.030651195,0.6894102,0.0,0.97324,0.69118
139.0,-0.010749637,-0.07239772,0.6893456,0.0,2.047,0.69116
139.5,-0.010767994,-0.028090974,0.6893692,0.0,3.6581,0.69113
140.0,-0.010731281,0.40399417,0.6892714,0.0,5.7149,0.69104
140.5,-0.010676211,1.7210673,0.68892,0.0,8.0205,0.69088
141.0,-0.0107129235,3.7908113,0.6886973,0.0,10.332,0.69066
141.5,-0.0107129235,6.463666,0.6885266,0.0,12.588,0.69037
142.0,-0.010657853,9.160197,0.68830526,0.0,14.704,0.69007
142.5,-0.010584426,11.423104,0.6880856,0.0,16.653,0.68979
143.0,-0.010602783,13.497133,0.6877297,0.0,18.088,0.68962
143.5,-0.010602783,15.124706,0.6874177,0.0,19.01,0.68953
144.0,-0.010602783,16.276543,0.68723744,0.0,19.653,0.68947
144.5,-0.010584426,17.176764,0.68713135,0.0,20.184,0.68941
145.0,-0.010602783,18.141285,0.68703765,0.0,20.78,0.68935
145.5,-0.010437572,19.223892,0.68693835,0.0,21.606,0.68926
146.0,-0.010474286,20.431738,0.6868086,0.0,22.609,0.68914
146.5,-0.010455929,21.69062,0.68665326,0.0,23.776,0.68899
147.0,-0.010382501,22.911617,0.6864909,0.0,24.992,0.68882
147.5,-0.010382501,24.064095,0.68632746,0.0,26.164,0.68865
148.0,-0.010235648,25.119976,0.6861722,0.0,27.225,0.6885
148.5,-0.010180577,26.071104,0.6860284,0.0,28.118,0.68837
149.0,-0.010198934,26.859972,0.68591124,0.0,28.816,0.68828
149.5,-0.010290718,27.471376,0.68581367,0.0,29.298,0.68821
150.0,-0.01021729,27.783087,0.6857484,0.0,29.558,0.68816
150.5,-0.010198934,27.796124,0.6856716,0.0,29.538,0.68814
151.0,-0.010272361,27.353117,0.6856001,0.0,29.199,0.68815
151.5,-0.010235648,26.464342,0.6855634,0.0,28.365,0.68819
152.0,-0.01021729,25.11074,0.6856106,0.0,27.071,0.68824
152.5,-0.010143863,23.47084,0.6856658,0.0,25.224,0.68831
153.0,-0.010088793,21.721664,0.6855807,0.0,23.001,0.68838
153.5,-0.010033723,19.778019,0.6853078,0.0,20.563,0.68844
154.0,-0.010088793,17.569584,0.68539375,0.0,18.118,0.6885
154.5,-0.010033723,15.335015,0.6856832,0.0,15.884,0.68854
155.0,-0.010052079,13.570649,0.68590415,0.0,14.05,0.68857
155.5,-0.009960296,12.504079,0.6860565,0.0,12.839,0.68859
156.0,-0.009905226,12.089316,0.6861923,0.0,12.332,0.68859
