ICE_ICE_Torque_Nm,ICE_NOx_gps,ICE_CO_gps,ICE_THC_gps,ICE_CO2_gps,DRV_Car_Speed_kmph,DRV_SOC_1
-2.5984225,8.416535e-05,-2.1244525e-06,4.7066373e-05,0.16031955,-0.79707444,0.69468874
-2.5978787,8.435561e-05,-2.1332057e-06,4.71785e-05,0.16034862,-1.7827154,0.6947233
-2.597216,8.453723e-05,-2.1406715e-06,4.7299247e-05,0.16037731,-2.5603805,0.69470006
-2.596604,8.466695e-05,-2.1499397e-06,4.7402747e-05,0.16040604,-3.1946042,0.694628
-2.5960093,8.483127e-05,-2.1576632e-06,4.7549373e-05,0.16043448,-3.7394824,0.69453555
-2.5953634,8.496099e-05,-2.166159e-06,4.7644247e-05,0.16046293,-4.197899,0.69443446
-2.5947177,8.515126e-05,-2.1743972e-06,4.7764996e-05,0.16049092,-4.5371356,0.6943377
-2.5940378,8.5246385e-05,-2.182893e-06,4.785987e-05,0.16051902,-4.638597,0.6942659
-2.593426,8.5410706e-05,-2.1903588e-06,4.799787e-05,0.16054673,-4.451668,0.69423676
-2.5927973,8.5557724e-05,-2.1985973e-06,4.8109992e-05,0.16057466,-4.077648,0.6942572
-2.5921004,8.56961e-05,-2.206063e-06,4.823937e-05,0.1606021,-3.7594433,0.69430643
-2.5914547,8.583447e-05,-2.2140441e-06,4.838599e-05,0.16062945,-3.5820134,0.6943211
-2.5909448,8.6007436e-05,-2.22151e-06,4.8506743e-05,0.16065681,-3.517026,0.6942819
-2.5902312,8.6119864e-05,-2.2294907e-06,4.8636117e-05,0.160684,-3.4719996,0.69423324
-2.5894663,8.625824e-05,-2.2374718e-06,4.8722366e-05,0.16071092,-1.0849856,0.69384336
-2.5890245,8.637067e-05,-2.2449376e-06,4.883449e-05,0.16073766,0.5631673,0.6934657
-2.5882938,8.651769e-05,-2.2529184e-06,4.8963866e-05,0.16076429,0.39991105,0.6935226
-2.587682,8.662147e-05,-2.2603845e-06,4.9058737e-05,0.16079068,0.49409914,0.69373095
-2.587002,8.67166e-05,-2.268108e-06,4.9222614e-05,0.16081719,0.45487717,0.69403076
-2.5863392,8.6889566e-05,-2.275059e-06,4.9326114e-05,0.16084354,0.48799783,0.6942384
-2.5857446,8.695875e-05,-2.2827824e-06,4.9472736e-05,0.16086954,0.78519577,0.6941608
-2.5851157,8.703659e-05,-2.2902484e-06,4.9558985e-05,0.16089559,0.911441,0.6940514
-2.58447,8.7166314e-05,-2.2974568e-06,4.972286e-05,0.16092142,0.72040623,0.69411635
-2.5837562,8.7287386e-05,-2.3046653e-06,4.9817736e-05,0.16094708,0.39948815,0.694334
-2.5832124,8.734793e-05,-2.3121313e-06,4.9938484e-05,0.16097263,0.07888165,0.694628
-2.5824645,8.75036e-05,-2.31934e-06,5.0067858e-05,0.16099823,-0.16202705,0.6949054
-2.5819378,8.7607375e-05,-2.326291e-06,5.0214483e-05,0.16102338,-0.2730401,0.69509006
-2.5812578,8.767656e-05,-2.3342718e-06,5.0317984e-05,0.16104858,-0.27544153,0.6951712
