ICE_ICE_Torque_Nm,ICE_fuel_tot_gps,ICE_NOx_eo_gps,ICE_CO_eo_gps,ICE_THC_eo_gps,ICE_T_gas_eo_K,ICE_NOx_tp_gps,ICE_CO_tp_gps,ICE_CO2_tp_gps,ICE_THC_tp_gps,ICE_T_Wall_SCR1_K,ICE_T_Wall_DOC_K,ICE_T_Sub_DPF_K,ICE_T_Wall_SCR2_K,ICE_T_Wall_SCR3_K,ICE_T_gas_tp_K,DRV_Car_Speed_kmph,DRV_SOC_1
-0.04030407,0.0005984313,-7.5420605e-05,-5.489577e-05,-3.760365e-05,297.62192,-6.0528742e-05,6.451593e-06,7.558258e-06,-5.1945586e-05,297.829,296.69327,298.6195,299.8285,299.1552,299.16217,6.2549195,0.6969486
-0.040726274,0.0005404745,-7.539592e-05,-5.4709046e-05,-3.83524e-05,297.62354,-5.8689693e-05,5.107511e-06,2.3162404e-06,-4.9846578e-05,297.82465,296.69818,298.61444,299.82898,299.16284,299.17514,9.45093,0.6967164
-0.040818058,0.00048579823,-7.527248e-05,-5.4503656e-05,-3.897635e-05,297.62524,-5.689062e-05,4.0173113e-06,-2.560055e-06,-4.7845653e-05,297.8202,296.7027,298.61035,299.8286,299.16895,299.18823,12.409912,0.69648135
-0.041001625,0.0004385033,-7.5149044e-05,-5.4242246e-05,-3.9475515e-05,297.62677,-5.509155e-05,3.136191e-06,-7.680165e-06,-4.5962428e-05,297.8165,296.70682,298.60724,299.82782,299.1733,299.20108,14.799763,0.6963001
-0.04116684,0.000390935,-7.492686e-05,-5.4018183e-05,-3.9912284e-05,297.62845,-5.333246e-05,2.4193473e-06,-1.2129784e-05,-4.411844e-05,297.81274,296.71033,298.60477,299.82678,299.17682,299.2141,16.717377,0.69616365
-0.04122191,0.00034801415,-7.467998e-05,-5.371943e-05,-4.0245057e-05,297.6304,-5.1573366e-05,1.8219775e-06,-1.6884173e-05,-4.2451e-05,297.8094,296.71362,298.60278,299.8254,299.179,299.2269,18.369034,0.69602704
-0.041185193,0.0003081005,-7.435904e-05,-5.3327316e-05,-4.0473842e-05,297.63223,-4.9934213e-05,1.3739503e-06,-2.127284e-05,-4.074433e-05,297.80652,296.71637,298.60153,299.8229,299.1801,299.23993,19.932915,0.6958321
-0.04116684,0.0002692804,-7.3988725e-05,-5.308458e-05,-4.0702624e-05,297.63437,-4.837502e-05,1.0901997e-06,-2.5478643e-05,-3.9174975e-05,297.80365,296.7188,298.60068,299.82053,299.18045,299.25235,21.464077,0.6955558
-0.041130126,0.00023647466,-7.359373e-05,-5.261778e-05,-4.080662e-05,297.63626,-4.6835816e-05,8.3631755e-07,-2.937968e-05,-3.776256e-05,297.80136,296.721,298.60062,299.81784,299.17957,299.26474,22.825144,0.6952189
-0.040891487,0.00020503583,-7.317404e-05,-5.224434e-05,-4.0869014e-05,297.63855,-4.5436536e-05,6.720409e-07,-3.2793087e-05,-3.6389374e-05,297.79922,296.72272,298.60062,299.81503,299.17844,299.27658,23.826015,0.6948493
-0.0407997,0.0001766042,-7.272966e-05,-5.198293e-05,-4.0889812e-05,297.64084,-4.393731e-05,5.675012e-07,-3.63284e-05,-3.4996574e-05,297.79764,296.7246,298.60095,299.81165,299.17633,299.28833,24.870125,0.6944659
-0.04065285,0.0001476258,-7.2235904e-05,-5.160949e-05,-4.0869014e-05,297.64343,-4.263798e-05,5.8243546e-07,-3.943704e-05,-3.374109e-05,297.79596,296.72586,298.60162,299.80795,299.1736,299.29984,25.954079,0.69414884
-0.040432565,0.00012192798,-7.1865594e-05,-5.1254723e-05,-4.076502e-05,297.646,-4.1298674e-05,5.973697e-07,-4.2362815e-05,-3.2564076e-05,297.79453,296.7273,298.60263,299.80405,299.17038,299.3106,26.99697,0.6939595
-0.040138856,0.00010087763,-7.134715e-05,-5.078792e-05,-4.0661027e-05,297.6488,-4.0019335e-05,7.019094e-07,-4.510573e-05,-3.152438e-05,297.79367,296.72855,298.60397,299.8002,299.167,299.32135,27.925467,0.6939164
-0.040047072,7.982729e-05,-7.0804024e-05,-5.043315e-05,-4.0598632e-05,297.65152,-3.8859933e-05,8.213833e-07,-4.754388e-05,-3.044545e-05,297.79306,296.72958,298.60532,299.79584,299.1629,299.33188,28.635525,0.6939841
-0.03977172,5.7683414e-05,-7.021152e-05,-5.0115726e-05,-4.0307455e-05,297.6543,-3.770053e-05,9.707258e-07,-4.9799168e-05,-2.9444987e-05,297.7928,296.73035,298.60687,299.7916,299.15884,299.34167,29.052246,0.69409657
-0.039569795,3.7999976e-05,-6.964371e-05,-4.9760958e-05,-4.009947e-05,297.6571,-3.6701047e-05,1.105134e-06,-5.168873e-05,-2.8464141e-05,297.79248,296.73096,298.60846,299.78732,299.154,299.3512,29.26098,0.69413507
-0.039184306,2.1050346e-05,-6.9100584e-05,-4.9424863e-05,-3.9912284e-05,297.6603,-3.5541645e-05,1.2843449e-06,-5.3517342e-05,-2.7620614e-05,297.79254,296.73187,298.61002,299.7825,299.1494,299.3603,29.582758,0.6939497
-0.03887224,6.5611466e-06,-6.853277e-05,-4.9070095e-05,-3.9579507e-05,297.66342,-3.462212e-05,1.4486216e-06,-5.498023e-05,-2.6777087e-05,297.7926,296.73227,298.61206,299.77756,299.14392,299.36905,30.118967,0.69363004
-0.03868867,-7.654671e-06,-6.80637e-05,-4.8696653e-05,-3.941312e-05,297.66653,-3.3622637e-05,1.7025036e-06,-5.6504072e-05,-2.6012027e-05,297.79285,296.73294,298.61374,299.77274,299.13882,299.37735,30.67537,0.69335383
-0.038303178,-2.1323727e-05,-6.737245e-05,-4.8341884e-05,-3.910114e-05,297.66953,-3.2743093e-05,1.8817145e-06,-5.760124e-05,-2.5325435e-05,297.79318,296.73325,298.61554,299.76764,299.13306,299.3856,31.211205,0.693125
-0.03800947,-3.171221e-05,-6.6878696e-05,-4.7968446e-05,-3.883076e-05,297.6728,-3.1903524e-05,2.1206624e-06,-5.875936e-05,-2.465846e-05,297.79413,296.73367,298.6175,299.76266,299.12756,299.3929,31.864809,0.69289637
