ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
4086.8604,13.620867,298.0,1.0,4086.8604,0.0,NaN,3.4222932
4296.3384,10.577039,298.0,1.0,4296.3384,0.0,NaN,8.421051
4341.2607,15.422781,298.0,1.0,4341.2607,0.0,NaN,2.2814183
4338.346,4.311445,298.0,1.0,4338.346,0.0,NaN,4.8206806
4471.8784,16.68362,298.0,1.0,4471.8784,0.0,NaN,6.1776996
4364.5386,16.374489,298.0,1.0,4364.5386,0.0,NaN,1.6987801
4188.0864,14.727815,298.0,1.0,4188.0864,0.0,NaN,8.907139
4447.5146,4.846322,298.0,1.0,4447.5146,0.0,NaN,7.9234242
4040.586,10.43185,298.0,1.0,4040.586,0.0,NaN,12.33215
4500.0,15.277571,298.0,1.0,4500.0,0.0,NaN,8.486828
4246.1377,16.591936,298.0,1.0,4246.1377,0.0,NaN,7.0432873
4500.0,10.037286,298.0,1.0,4500.0,0.0,NaN,5.3445997
4348.4297,17.161457,298.0,1.0,4348.4297,0.0,NaN,8.823249
4104.7334,17.021772,298.0,1.0,4104.7334,0.0,NaN,0.5630642
4406.8164,13.125691,298.0,1.0,4406.8164,0.0,NaN,1.9521773
4500.0,13.0289545,298.0,1.0,4500.0,0.0,NaN,10.276908
4378.0083,7.722896,298.0,1.0,4378.0083,0.0,NaN,0.0
4270.5728,6.169466,298.0,1.0,4270.5728,0.0,NaN,7.5955334
4430.792,11.739813,298.0,1.0,4430.792,0.0,NaN,8.610386
4056.129,14.269459,298.0,1.0,4056.129,0.0,NaN,4.7067137
3776.0288,13.48569,298.0,1.0,3776.0288,0.0,NaN,0.0
3955.906,6.532129,298.0,1.0,3955.906,0.0,NaN,8.584386
4332.1025,6.599645,298.0,1.0,4332.1025,0.0,NaN,8.136261
4043.9873,15.830577,298.0,1.0,4043.9873,0.0,NaN,12.265205
3987.252,9.627655,298.0,1.0,3987.252,0.0,NaN,16.096138
3687.1646,6.644119,298.0,1.0,3687.1646,0.0,NaN,18.942806
4180.9917,12.230181,298.0,1.0,4180.9917,0.0,NaN,9.433725
4167.276,7.8106074,298.0,1.0,4167.276,0.0,NaN,2.8834045
4329.193,13.415107,298.0,1.0,4329.193,0.0,NaN,10.191929
4064.8953,8.091519,298.0,1.0,4064.8953,0.0,NaN,6.7486105
3915.219,10.271122,298.0,1.0,3915.219,0.0,NaN,9.253046
4500.0,10.315517,298.0,1.0,4500.0,0.0,NaN,9.387678
4252.5435,12.210864,298.0,1.0,4252.5435,0.0,NaN,8.985508
3788.7002,10.776996,298.0,1.0,3788.7002,0.0,NaN,7.2828264
4486.9224,9.905538,298.0,1.0,4486.9224,0.0,NaN,0.0
4381.9326,9.45606,298.0,1.0,4381.9326,0.0,NaN,1.1415839
4319.0,6.0115685,298.0,1.0,4319.0,0.0,NaN,12.177637
4490.1743,8.505978,298.0,1.0,4490.1743,0.0,NaN,4.294154
4325.46,15.982274,298.0,1.0,4325.46,0.0,NaN,12.271574
4170.5884,12.370962,298.0,1.0,4170.5884,0.0,NaN,13.773793
4272.2344,8.821267,298.0,1.0,4272.2344,0.0,NaN,7.4364424
4151.5254,13.802509,298.0,1.0,4151.5254,0.0,NaN,5.6319146
4462.2046,7.111627,298.0,1.0,4462.2046,0.0,NaN,9.928015
4144.8555,11.786473,298.0,1.0,4144.8555,0.0,NaN,4.6621532
4144.1436,16.693392,298.0,1.0,4144.1436,0.0,NaN,7.651943
4380.355,13.449497,298.0,1.0,4380.355,0.0,NaN,1.7088592
4188.6714,17.350315,298.0,1.0,4188.6714,0.0,NaN,3.354147
4299.97,14.349152,298.0,1.0,4299.97,0.0,NaN,3.9640574
4191.796,22.256765,298.0,1.0,4191.796,0.0,NaN,11.761368
4159.2544,13.924889,298.0,1.0,4159.2544,0.0,NaN,2.2222667
4161.737,15.547426,298.0,1.0,4161.737,0.0,NaN,11.03892
4087.2185,9.668127,298.0,1.0,4087.2185,0.0,NaN,11.427983
3931.807,15.97581,298.0,1.0,3931.807,0.0,NaN,0.15960634
4122.2666,11.1428795,298.0,1.0,4122.2666,0.0,NaN,7.2375536
4232.78,10.990633,298.0,1.0,4232.78,0.0,NaN,3.0587883
4179.601,15.054599,298.0,1.0,4179.601,0.0,NaN,11.8474245
4009.3875,7.087822,298.0,1.0,4009.3875,0.0,NaN,2.2904425
4046.7808,3.0,298.0,1.0,4046.7808,0.0,NaN,11.063928
4203.8193,8.390056,298.0,1.0,4203.8193,0.0,NaN,5.4826827
4370.887,9.062821,298.0,1.0,4370.887,0.0,NaN,9.202522
4311.823,9.951389,298.0,1.0,4311.823,0.0,NaN,0.0
4223.684,13.541632,298.0,1.0,4223.684,0.0,NaN,10.737589
4271.329,14.996853,298.0,1.0,4271.329,0.0,NaN,9.897921
4301.166,13.648804,298.0,1.0,4301.166,0.0,NaN,11.796051
4412.969,14.107075,298.0,1.0,4412.969,0.0,NaN,8.784878
4237.369,18.83831,298.0,1.0,4237.369,0.0,NaN,5.2954288
3786.9287,10.528308,298.0,1.0,3786.9287,0.0,NaN,9.399268
4286.266,7.3773375,298.0,1.0,4286.266,0.0,NaN,6.877512
4500.0,14.296609,298.0,1.0,4500.0,0.0,NaN,8.000901
4500.0,16.836578,298.0,1.0,4500.0,0.0,NaN,5.7715745
3896.09,12.399655,298.0,1.0,3896.09,0.0,NaN,7.0990086
4385.6284,11.801731,298.0,1.0,4385.6284,0.0,NaN,2.7082741
4354.233,9.832537,298.0,1.0,4354.233,0.0,NaN,11.16341
4268.034,4.624886,298.0,1.0,4268.034,0.0,NaN,6.5046844
4012.2527,7.2226987,298.0,1.0,4012.2527,0.0,NaN,10.078094
