speed_actual,speed_target,soc,ice_torque,nox,co,fuel
-0.13110268,2.36e-09,0.7159824,72.96365,0.010153387,0.042102356,54.01677703857422
0.10975568,1.61e-09,0.7160668,109.03195,0.006676692,0.02356619,3.0
0.382868,1.09e-09,0.71612215,-59.90401,0.0075236447,0.057414077,3.0
-0.13174014,7.44e-10,0.7162358,73.13454,0.0100394655,0.039983522,54.22145080566406
0.10734443,5.07e-10,0.7163159,109.176796,0.0065561146,0.022141904,3.0
0.3741272,3.45e-10,0.7163659,-59.956734,0.0073216194,0.054977126,3.0
-0.13269632,2.35e-10,0.71648085,73.32176,0.009916659,0.037302088,54.407005310058594
0.10485003,1.6e-10,0.71655744,109.3177,0.0064489697,0.020389847,3.0
0.36588186,1.09e-10,0.7166032,-60.03205,0.0070844316,0.05190806,3.0
-0.13412714,7.4e-11,0.71671903,73.52467,0.009787156,0.034012917,54.57631301879883
0.102223985,5.04e-11,0.7167928,109.45791,0.006357857,0.018307574,3.0
0.3581492,3.43e-11,0.71683514,-60.134132,0.0068094935,0.048146535,3.0
-0.13615383,2.33e-11,0.71695143,73.743195,0.009652645,0.030092737,54.728477478027344
0.099383146,1.59e-11,0.71702296,109.59734,0.0062849345,0.015915064,3.0
0.35092932,1.08e-11,0.717063,-60.265034,0.006494846,0.043665595,3.0
-0.1387972,7.36e-12,0.71717954,73.97693,0.009515686,0.025573337,54.86326217651367
0.0963379,5.01e-12,0.71724933,109.73569,0.0062296432,0.013268059,3.0
0.34418753,3.41e-12,0.71728754,-60.42536,0.006142178,0.0385155,3.0
-0.142033,2.32e-12,0.71740425,74.22498,0.009379286,0.020584598,54.98184585571289
0.09308479,1.58e-12,0.71747273,109.87501,0.006187065,0.0104744,3.0
0.33797923,1.08e-12,0.7175096,-60.612564,0.0057596955,0.032880813,3.0
-0.14576419,7.32e-13,0.7176265,74.484665,0.009246185,0.01539253,55.084327697753906
0.0897416,4.98e-13,0.717694,110.01727,0.006146166,0.007699797,3.0
0.33230448,3.39e-13,0.7177297,-60.822365,0.00536434,0.02711682,3.0
-0.14985223,2.31e-13,0.7178468,74.75245,0.009117252,0.010387363,55.173370361328125
0.086429596,1.57e-13,0.7179136,110.167595,0.0060908548,0.005145175,3.0
0.3272464,1.07e-13,0.7179486,-61.046227,0.004980468,0.021701306,3.0
-0.1541031,7.28e-14,0.71806586,75.02362,0.008989448,0.005984554,55.25065231323242
0.083321996,4.95e-14,0.71813214,110.32801,0.006005549,0.00299106,3.0
0.32286042,3.37e-14,0.71816653,-61.27293,0.004632288,0.017078659,3.0
-0.15836437,2.29e-14,0.718284,75.29263,0.008856807,0.0024694665,55.31825637817383
0.08051233,1.56e-14,0.71835,110.49903,0.005883032,0.0013336578,3.0
0.31913614,1.06e-14,0.7183839,-61.490864,0.0043349513,0.013484905,3.0
-0.16253209,7.23e-15,0.7185016,75.55339,0.00871511,-9.7281656e-05,55.37821960449219
0.0780214,4.92e-15,0.71856743,110.67806,0.005728332,0.00016220081,3.0
0.31600082,3.35e-15,0.7186011,-61.69209,0.0040911576,0.01089804,3.0
-0.1666028,2.28e-15,0.71871907,75.80055,0.008565687,-0.001843214,55.43209457397461
0.07579723,1.55e-15,0.7187847,110.86233,0.0055546914,-0.0006095411,3.0
0.31335053,1.06e-15,0.7188183,-61.874283,0.0038946988,0.0091296015,3.0
-0.17062156,7.19e-16,0.71893644,76.03084,0.008414215,-0.0029748115,55.480838775634766
0.07373935,4.9e-16,0.7190021,111.04933,0.005376484,-0.0010909912,3.0
0.3110363,3.33e-16,0.7190354,-62.038357,0.0037363006,0.007949856,3.0
-0.17464377,0.0039794,0.7191539,76.24379,0.008267341,-0.0036885787,55.526161193847656
0.0743283,0.30938,0.71921927,111.354675,0.0052021435,-0.0013784604,3.0
0.49884707,0.97324,0.71923906,-54.044174,0.0039906395,0.006613794,3.0
0.51704234,2.047,0.71935016,80.14523,0.008630403,-0.0040106056,70.0
1.8393018,3.6581,0.7193849,174.91927,0.0051618745,-0.0011330759,28.734424591064453
3.651745,5.7149,0.7195866,67.53207,0.0045049936,-0.000857345,33.7489013671875
5.884477,8.0205,0.71979296,190.38321,0.0038296424,-0.00059590617,38.60438919067383
8.156201,10.332,0.71994984,168.61842,0.0033437933,0.00025013363,38.98299789428711
10.475095,12.588,0.72005326,173.89476,0.0031085948,-0.00038525867,34.273155212402344
12.790291,14.704,0.72011894,149.95738,0.0032756485,-0.0001232075,33.536521911621094
15.271266,16.653,0.7200867,165.1539,0.002804282,4.643056e-05,39.53043746948242
17.58155,18.088,0.7200414,163.02216,0.0028573545,5.537617e-05,31.37255859375
19.013206,19.01,0.72005194,86.189,0.003514765,-0.00041796465,16.660703659057617
19.648916,19.653,0.72009265,84.07702,0.0036610796,6.815988e-05,18.70969009399414
19.91936,20.184,0.7201252,113.88847,0.0016649702,-0.00069330726,23.971206665039062
20.155376,20.78,0.72007805,88.2699,0.0025618372,0.00015344933,13.664544105529785
20.66229,21.606,0.71998763,117.190926,0.001307175,-0.00025630146,35.82112121582031
21.716433,22.609,0.7198606,179.25916,0.0019879935,0.00020234405,27.606582641601562
22.65861,23.776,0.7198268,97.26353,0.002174477,-0.000113903465,24.339473724365234
23.905727,24.992,0.7197403,176.62373,0.0006302246,-6.284329e-05,47.74037170410156
25.211657,26.164,0.7196918,183.84666,0.0021101404,0.000828268,28.095640182495117
26.216253,27.225,0.7196903,98.99835,0.002010222,-0.0004648731,25.492374420166016
27.332916,28.118,0.7196426,173.82037,6.3257336e-05,-1.0752655e-05,55.33999252319336
28.408552,28.816,0.71963054,179.26447,0.0019685435,0.00091219845,22.793262481689453
28.885595,29.298,0.7196888,43.258957,0.0017565329,-0.0006090632,15.697848320007324
29.398993,29.558,0.7197035,126.619774,0.002647263,-0.0007852425,45.23500442504883
29.839064,29.538,0.71983325,217.04866,0.00074117724,-7.750872e-06,26.761228561401367
