ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
4162.604,9.699942,298.0,1.0,4162.604,0.0,NaN,7.812005
4228.724,9.489843,298.0,1.0,4228.724,0.0,NaN,15.046417
3932.4165,8.443933,298.0,1.0,3932.4165,0.0,NaN,20.051632
3988.424,11.498252,298.0,1.0,3988.424,0.0,NaN,9.1380205
4500.0,5.8849826,298.0,1.0,4500.0,0.0,NaN,7.513857
4045.992,10.125021,298.0,1.0,4045.992,0.0,NaN,2.5208414
4500.0,7.4339056,298.0,1.0,4500.0,0.0,NaN,4.743114
4434.0566,10.211372,298.0,1.0,4434.0566,0.0,NaN,11.380068
3964.7676,12.096342,298.0,1.0,3964.7676,0.0,NaN,16.792202
4500.0,5.895795,298.0,1.0,4500.0,0.0,NaN,18.426937
4247.076,11.498409,298.0,1.0,4247.076,0.0,NaN,11.583951
3814.5168,13.944868,298.0,1.0,3814.5168,0.0,NaN,13.7922735
4102.838,6.800339,298.0,1.0,4102.838,0.0,NaN,0.9537101
4037.643,9.962761,298.0,1.0,4037.643,0.0,NaN,0.0
4374.0527,10.828111,298.0,1.0,4374.0527,0.0,NaN,0.99882483
4042.342,4.8742046,298.0,1.0,4042.342,0.0,NaN,10.707456
3981.4,9.295385,298.0,1.0,3981.4,0.0,NaN,8.909267
4308.0747,6.9220815,298.0,1.0,4308.0747,0.0,NaN,15.963448
3946.8064,6.1903443,298.0,1.0,3946.8064,0.0,NaN,7.3207884
4149.2876,8.2671175,298.0,1.0,4149.2876,0.0,NaN,7.967517
4153.8477,8.538154,298.0,1.0,4153.8477,0.0,NaN,4.713109
4138.1465,7.301593,298.0,1.0,4138.1465,0.0,NaN,2.7232409
4011.3762,7.1625566,298.0,1.0,4011.3762,0.0,NaN,1.5759945
3856.4346,8.996695,298.0,1.0,3856.4346,0.0,NaN,15.828716
4212.333,9.003787,298.0,1.0,4212.333,0.0,NaN,11.916762
4129.154,11.500624,298.0,1.0,4129.154,0.0,NaN,0.0
4211.6367,12.488665,298.0,1.0,4211.6367,0.0,NaN,5.136922
4075.947,9.439241,298.0,1.0,4075.947,0.0,NaN,8.408091
4417.161,9.552909,298.0,1.0,4417.161,0.0,NaN,2.1639614
4197.2314,10.2735615,298.0,1.0,4197.2314,0.0,NaN,1.5475422
4136.0947,8.56654,298.0,1.0,4136.0947,0.0,NaN,11.668974
4189.673,10.4957285,298.0,1.0,4189.673,0.0,NaN,8.378037
3781.6257,15.030557,298.0,1.0,3781.6257,0.0,NaN,6.5790324
4005.848,3.7202716,298.0,1.0,4005.848,0.0,NaN,11.446002
4201.3857,13.82687,298.0,1.0,4201.3857,0.0,NaN,5.2410097
4319.324,7.557411,298.0,1.0,4319.324,0.0,NaN,6.8631144
4368.9873,6.296953,298.0,1.0,4368.9873,0.0,NaN,10.139945
4172.362,10.974882,298.0,1.0,4172.362,0.0,NaN,13.13431
3934.091,10.737747,298.0,1.0,3934.091,0.0,NaN,16.388449
3820.1821,8.182619,298.0,1.0,3820.1821,0.0,NaN,14.905516
4330.1465,10.443761,298.0,1.0,4330.1465,0.0,NaN,11.821586
