time,ice_torque_pred,ice_torque_true,car_speed_pred,car_speed_true,soc_pred,soc_true
140.0,-2.5408788,0.0,5.5212235,5.7149,0.6891218,0.69104
140.5,-2.5403519,0.0,7.627612,8.0205,0.6889453,0.69088
141.0,-2.53974,0.0,9.602143,10.332,0.6888016,0.69066
141.5,-2.5393324,0.0,11.719258,12.588,0.6886478,0.69037
142.0,-2.5387204,0.0,14.138963,14.704,0.68848497,0.69007
142.5,-2.5382447,0.0,16.397928,16.653,0.68834335,0.68979
143.0,-2.5377688,0.0,18.024426,18.088,0.6882504,0.68962
143.5,-2.537242,0.0,19.136644,19.01,0.68811935,0.68953
144.0,-2.5367491,0.0,19.91468,19.653,0.68792117,0.68947
144.5,-2.5362053,0.0,20.386765,20.184,0.68768924,0.68941
145.0,-2.5356784,0.0,20.726803,20.78,0.68744606,0.68935
145.5,-2.5352705,0.0,21.0617,21.606,0.687211,0.68926
146.0,-2.5347097,0.0,21.52363,22.609,0.68699354,0.68914
146.5,-2.534183,0.0,22.173952,23.776,0.68679935,0.68899
147.0,-2.5336561,0.0,23.005877,24.992,0.6866305,0.68882
147.5,-2.5332482,0.0,23.990198,26.164,0.68648475,0.68865
148.0,-2.5326705,0.0,25.054747,27.225,0.68635935,0.6885
148.5,-2.5322285,0.0,26.115082,28.118,0.68624866,0.68837
149.0,-2.5317867,0.0,27.058723,28.816,0.6861492,0.68828
149.5,-2.531277,0.0,27.808731,29.298,0.68605846,0.68821
150.0,-2.530835,0.0,28.225039,29.558,0.6859819,0.68816
150.5,-2.530359,0.0,28.220667,29.538,0.6859302,0.68814
151.0,-2.5297983,0.0,27.576967,29.199,0.68591374,0.68815
151.5,-2.5293224,0.0,26.22115,28.365,0.68591887,0.68819
152.0,-2.5289147,0.0,24.174517,27.071,0.6858822,0.68824
152.5,-2.5283709,0.0,21.712635,25.224,0.685755,0.68831
153.0,-2.527844,0.0,19.257479,23.001,0.6855582,0.68838
153.5,-2.527453,0.0,17.02644,20.563,0.6853802,0.68844
154.0,-2.5270112,0.0,15.008631,18.118,0.6853224,0.6885
154.5,-2.5265183,0.0,13.112022,15.884,0.68539286,0.68854
155.0,-2.5260935,0.0,11.45511,14.05,0.68561953,0.68857
155.5,-2.5256176,0.0,10.081844,12.839,0.68589574,0.68859
156.0,-2.5251248,0.0,8.957345,12.332,0.68612355,0.68859
156.5,-2.524649,0.0,8.162793,12.374,0.68623406,0.68858
157.0,-2.5241902,0.0,7.762538,12.693,0.68622273,0.68855
157.5,-2.5237143,0.0,7.7828946,13.276,0.6861029,0.68851
158.0,-2.5233064,0.0,8.288814,14.161,0.6859112,0.68843
158.5,-2.5227966,0.0,9.288672,15.373,0.68569416,0.68832
159.0,-2.5223546,0.0,10.665175,16.773,0.68550926,0.68817
159.5,-2.5219638,0.0,12.286383,18.22,0.68539673,0.68801
160.0,-2.521437,0.0,14.113291,19.713,0.6853485,0.68783
160.5,-2.5210972,0.0,16.040354,21.283,0.6853365,0.68761
161.0,-2.5206041,0.0,17.687859,22.774,0.68536925,0.6874
161.5,-2.5202134,0.0,18.925438,24.025,0.68539906,0.68723
162.0,-2.5197036,0.0,19.983952,25.148,0.6853304,0.68708
162.5,-2.5193126,0.0,21.033125,26.219,0.68515915,0.68693
163.0,-2.5189557,0.0,22.11872,27.252,0.6849392,0.68678
163.5,-2.518463,0.0,23.240396,28.238,0.6847114,0.68664
164.0,-2.5180721,0.0,24.37072,29.166,0.68449223,0.6865
164.5,-2.51763,0.0,25.476458,30.024,0.68428636,0.68638
165.0,-2.5173414,0.0,26.470942,30.78,0.6840999,0.68626
165.5,-2.5168824,0.0,27.309216,31.393,0.6839379,0.68617
166.0,-2.5164065,0.0,28.007292,31.945,0.6838024,0.68608
166.5,-2.5159986,0.0,28.623226,32.509,0.6836925,0.68599
167.0,-2.5155058,0.0,29.289095,33.172,0.6835976,0.68588
167.5,-2.515183,0.0,30.08454,34.002,0.68350184,0.68574
168.0,-2.5147412,0.0,31.000246,34.938,0.6833926,0.68557
168.5,-2.5143332,0.0,31.963634,35.894,0.6832647,0.68539
169.0,-2.5139422,0.0,32.829967,36.735,0.68312603,0.68523
169.5,-2.5135856,0.0,33.52307,37.347,0.6829914,0.68512
170.0,-2.5131435,0.0,33.888294,37.674,0.68287796,0.68505
170.5,-2.5127866,0.0,33.843567,37.631,0.6828075,0.68503
171.0,-2.5123618,0.0,33.160015,37.231,0.6827972,0.68505
171.5,-2.5120049,0.0,31.747858,36.346,0.68284553,0.68509
172.0,-2.511631,0.0,29.685986,35.078,0.6828863,0.68516
172.5,-2.5112233,0.0,27.301813,33.39,0.68285966,0.68525
173.0,-2.5107985,0.0,25.043661,31.49,0.6827852,0.68534
173.5,-2.5104585,0.0,23.147495,29.567,0.68274534,0.68542
174.0,-2.5100677,0.0,21.64992,27.833,0.68282825,0.68549
174.5,-2.5096767,0.0,20.445122,26.501,0.6830144,0.68554
175.0,-2.5093367,0.0,19.427423,25.634,0.683248,0.68556
175.5,-2.508895,0.0,18.623163,25.273,0.68343186,0.68556
176.0,-2.5085552,0.0,18.064482,25.262,0.68352246,0.68555
176.5,-2.5081983,0.0,17.819054,25.501,0.6835084,0.68551
177.0,-2.5078413,0.0,17.966412,25.975,0.6834069,0.68545
177.5,-2.5074844,0.0,18.489489,26.684,0.68324864,0.68535
178.0,-2.5069745,0.0,19.233927,27.483,0.683081,0.68524
178.5,-2.5066686,0.0,20.020401,28.231,0.68295056,0.68514
179.0,-2.5063288,0.0,20.669851,28.831,0.68287957,0.68506
179.5,-2.505972,0.0,21.11121,29.224,0.6828685,0.68499
180.0,-2.505666,0.0,21.321707,29.442,0.68289834,0.68495
180.5,-2.505326,0.0,21.345057,29.503,0.68295014,0.68493
181.0,-2.5049863,0.0,21.23205,29.471,0.68300843,0.68491
181.5,-2.5045953,0.0,21.020658,29.358,0.6830642,0.68491
182.0,-2.5042384,0.0,20.69904,29.148,0.683112,0.68491
182.5,-2.5038476,0.0,20.227057,28.781,0.68314856,0.68492
183.0,-2.5035756,0.0,19.51881,28.198,0.68316644,0.68494
183.5,-2.5032187,0.0,18.561544,27.344,0.6831605,0.68498
184.0,-2.5028958,0.0,17.427668,26.297,0.6831316,0.68502
184.5,-2.502471,0.0,16.207548,25.134,0.68309045,0.68506
185.0,-2.502114,0.0,14.950027,23.905,0.68305206,0.68511
185.5,-2.5017912,0.0,13.67726,22.637,0.68303084,0.68515
186.0,-2.5015192,0.0,12.444114,21.392,0.683043,0.68519
186.5,-2.5012474,0.0,11.276096,20.252,0.6830774,0.68522
187.0,-2.5008564,0.0,10.150366,19.226,0.683115,0.68525
187.5,-2.5005505,0.0,9.0656395,18.276,0.68314534,0.68528
188.0,-2.5002277,0.0,8.04205,17.408,0.68315876,0.6853
188.5,-2.4999049,0.0,7.0971227,16.628,0.6831495,0.68532
189.0,-2.499565,0.0,6.234408,15.928,0.6831173,0.68533
189.5,-2.49914,0.0,5.450948,15.287,0.6830676,0.68534
190.0,-2.4989362,0.0,4.7829385,14.71,0.68301386,0.68535
190.5,-2.4985113,0.0,4.2338686,14.226,0.6829578,0.68536
191.0,-2.4982564,0.0,3.7559462,13.813,0.68289953,0.68536
191.5,-2.4979165,0.0,3.3353224,13.417,0.6828481,0.68537
192.0,-2.4975936,0.0,3.0100417,13.057,0.68280894,0.68537
192.5,-2.4973047,0.0,2.7933676,12.774,0.6827793,0.68537
193.0,-2.4969137,0.0,2.6546352,12.566,0.68275416,0.68538
