speed_actual,speed_target,soc,ice_torque,nox,fuel,engine_on,ice_speed_rpm,em2_torque_nm,brake_perc,em1_torque_ist_nm,em2_torque_ist_nm,sun_speed_rpm,ring_speed_rpm
42.502617,41.09,0.75154555,69.98607,0.0,14.820715,True,1402.1125,257.80566,1.7375648,-29.302900314331055,243.30035400390625,2283.214599609375,775.6288452148438
43.611065,42.162,0.7512702,70.008255,0.0,14.774527,True,1403.0128,257.04633,1.7365754,-29.239870071411133,241.01210021972656,2260.23193359375,795.5277709960938
44.694817,43.208,0.7509974,69.5226,3.6031008e-05,14.651193,True,1403.2028,252.90741,1.7509311,-29.10253143310547,236.7608642578125,2233.76953125,815.1970825195312
45.7642,44.229,0.7507247,68.917694,5.222857e-05,14.554176,True,1403.5013,249.98303,1.7605722,-28.811365127563477,233.24862670898438,2207.968505859375,834.2469482421875
46.809093,45.228,0.7504548,68.36197,7.402897e-05,14.422165,True,1403.5852,245.00745,1.7780513,-28.587419509887695,228.7222137451172,2183.015869140625,852.8425903320312
47.832214,46.204,0.75018597,67.58327,8.738041e-05,14.306597,True,1403.7194,240.70148,1.7931789,-28.265422821044922,224.69595336914062,2157.8720703125,870.857666015625
48.789494,47.118,0.7499253,66.64488,0.00010277331,14.029879,True,1402.4419,227.66235,1.8448651,-27.877670288085938,215.52552795410156,2130.204345703125,888.3802490234375
49.180313,47.517,0.74975926,61.014557,0.00015889108,12.280217,True,1394.6116,109.050476,2.2568345,-25.3781795501709,107.08130645751953,2079.029541015625,901.0330810546875
49.202934,47.406,0.7497,52.05066,0.00022676587,11.531807,True,1387.8125,34.815918,2.6521592,-21.9085750579834,29.5495548248291,2036.9931640625,901.2991943359375
48.72158,47.038,0.74985015,50.494644,0.0002027601,11.293839,True,1385.1252,-28.14978,3.184986,-21.06185531616211,-25.077978134155273,2070.5205078125,892.8858032226562
48.023743,46.569,0.75001544,50.05217,0.00020591915,11.737573,True,1386.5875,-4.398834,3.1457992,-21.082054138183594,-4.108122825622559,2102.34716796875,871.568359375
47.253128,46.055,0.7499838,53.555588,0.000117734075,12.160166,True,1390.5002,25.697205,2.9499679,-21.865558624267578,23.70786476135254,2157.750732421875,853.8209228515625
46.660694,45.546,0.7498332,55.69919,0.000102326274,12.700397,True,1396.6721,64.778564,2.6806712,-22.864086151123047,63.69727325439453,2183.004150390625,841.1728515625
46.211292,45.087,0.74973667,58.708725,7.225573e-05,12.897997,True,1401.3232,68.54135,2.6006699,-24.129758834838867,67.9293212890625,2203.957275390625,836.6491088867188
45.956913,44.749,0.7496677,59.639236,0.00011205673,13.2090435,True,1404.4481,84.917755,2.5185971,-24.853782653808594,85.14522552490234,2203.70849609375,833.7654418945312
45.84949,44.561,0.74960935,61.687973,0.00010462105,13.349569,True,1406.7253,90.21619,2.4730892,-25.614831924438477,89.49868774414062,2220.331787109375,834.1190795898438
