ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
4157.2896,13.817614,298.0,1.0,4157.2896,0.0,NaN,6.3022404
3909.498,9.778043,298.0,1.0,3909.498,0.0,NaN,11.540493
3962.8074,10.690588,298.0,1.0,3962.8074,0.0,NaN,4.441577
4241.0996,10.267218,298.0,1.0,4241.0996,0.0,NaN,4.5179725
4326.6343,6.433685,298.0,1.0,4326.6343,0.0,NaN,11.565381
4323.2065,13.519918,298.0,1.0,4323.2065,0.0,NaN,2.7978272
4337.096,10.365085,298.0,1.0,4337.096,0.0,NaN,15.446314
4312.0615,13.303295,298.0,1.0,4312.0615,0.0,NaN,14.920473
4366.711,11.737753,298.0,1.0,4366.711,0.0,NaN,10.725591
4082.672,12.996004,298.0,1.0,4082.672,0.0,NaN,7.4594407
3795.2163,9.292496,298.0,1.0,3795.2163,0.0,NaN,20.24159
4112.4893,9.415266,298.0,1.0,4112.4893,0.0,NaN,16.228195
4090.05,10.552241,298.0,1.0,4090.05,0.0,NaN,14.609352
4206.982,9.4383745,298.0,1.0,4206.982,0.0,NaN,4.797679
3807.4678,11.617088,298.0,1.0,3807.4678,0.0,NaN,9.748837
3939.1772,12.752107,298.0,1.0,3939.1772,0.0,NaN,8.093346
4082.8596,18.807674,298.0,1.0,4082.8596,0.0,NaN,0.25921464
4222.547,14.376322,298.0,1.0,4222.547,0.0,NaN,6.1219363
4500.0,11.031173,298.0,1.0,4500.0,0.0,NaN,8.464888
4375.8926,17.712494,298.0,1.0,4375.8926,0.0,NaN,7.2352915
3762.118,12.42838,298.0,1.0,3762.118,0.0,NaN,0.32876134
4121.289,11.271716,298.0,1.0,4121.289,0.0,NaN,9.195346
4155.486,6.786879,298.0,1.0,4155.486,0.0,NaN,18.8519
4342.027,9.932321,298.0,1.0,4342.027,0.0,NaN,12.539109
4123.545,9.125301,298.0,1.0,4123.545,0.0,NaN,2.8088598
4363.636,6.8805666,298.0,1.0,4363.636,0.0,NaN,6.8895698
4425.897,6.870669,298.0,1.0,4425.897,0.0,NaN,1.2539655
4421.356,9.112033,298.0,1.0,4421.356,0.0,NaN,22.734806
4431.6777,13.974348,298.0,1.0,4431.6777,0.0,NaN,15.039367
4273.1685,8.816228,298.0,1.0,4273.1685,0.0,NaN,6.652898
4198.6807,9.623063,298.0,1.0,4198.6807,0.0,NaN,5.6895585
3829.8506,11.1268,298.0,1.0,3829.8506,0.0,NaN,3.068155
4222.941,12.349209,298.0,1.0,4222.941,0.0,NaN,7.0314646
4216.024,10.802264,298.0,1.0,4216.024,0.0,NaN,9.972474
3821.5977,12.050963,298.0,1.0,3821.5977,0.0,NaN,0.0
3933.002,8.606278,298.0,1.0,3933.002,0.0,NaN,0.24539828
3929.3574,13.680343,298.0,1.0,3929.3574,0.0,NaN,1.4935881
4026.9092,11.270901,298.0,1.0,4026.9092,0.0,NaN,3.189838
4340.5713,13.832217,298.0,1.0,4340.5713,0.0,NaN,13.546482
4500.0,12.319096,298.0,1.0,4500.0,0.0,NaN,16.030535
4394.0723,10.128977,298.0,1.0,4394.0723,0.0,NaN,12.148958
4135.636,11.347445,298.0,1.0,4135.636,0.0,NaN,19.238075
4313.607,13.480259,298.0,1.0,4313.607,0.0,NaN,13.888115
4147.046,13.469551,298.0,1.0,4147.046,0.0,NaN,12.544253
4332.322,6.307506,298.0,1.0,4332.322,0.0,NaN,4.8893185
4178.4907,9.224987,298.0,1.0,4178.4907,0.0,NaN,8.73546
4310.903,10.833102,298.0,1.0,4310.903,0.0,NaN,7.556608
4440.983,7.9102855,298.0,1.0,4440.983,0.0,NaN,12.8189
4114.5303,7.960418,298.0,1.0,4114.5303,0.0,NaN,14.460322
4253.4526,15.447291,298.0,1.0,4253.4526,0.0,NaN,3.2636971
4161.3237,8.115766,298.0,1.0,4161.3237,0.0,NaN,2.8744817
4254.4536,12.681215,298.0,1.0,4254.4536,0.0,NaN,11.009273
3972.9304,11.440853,298.0,1.0,3972.9304,0.0,NaN,12.821916
4362.271,12.2538185,298.0,1.0,4362.271,0.0,NaN,18.254667
4475.114,12.647105,298.0,1.0,4475.114,0.0,NaN,8.711147
4245.269,6.870126,298.0,1.0,4245.269,0.0,NaN,9.769628
4260.726,14.710075,298.0,1.0,4260.726,0.0,NaN,9.475425
3895.9998,9.366504,298.0,1.0,3895.9998,0.0,NaN,14.416656
3887.4395,6.5360465,298.0,1.0,3887.4395,0.0,NaN,13.258892
4228.433,7.715518,298.0,1.0,4228.433,0.0,NaN,5.8389635
4416.4575,11.637739,298.0,1.0,4416.4575,0.0,NaN,13.767323
4177.2515,7.0451355,298.0,1.0,4177.2515,0.0,NaN,12.867964
